ID,Domain,What it computes,Rule in plain English,COBOL as written,Program,Paragraph,Line,Driver fields,Notes
BAL-05,Balances & statement,Cash statement balance,Same treatment on the cash side.,COMPUTE CM-CASH1-BALANCE-STMT = CM-CASH1-BALANCE ; - (CM-CASH-IBNP + CM-CASH-SVC-BNP + CM-CASH1-FEE),CPD110,RESET-ACCOUNT,16630,"CM-CASH-IBNP, CM-CASH-SVC-BNP",
BAL-06,Balances & statement,Statement totals,Retail and cash statement balances totalled for presentation.,COMPUTE WS-RTL-STMT-BAL = CM-RTL1-BALANCE-STMT ; + CM-RTL2-BALANCE-STMT + CM-RTL3-BALANCE-STMT ; COMPUTE WS-CASH-STMT-BAL = CM-CASH1-BALANCE-STMT + CM-CASH2-BALANCE-STMT,CPD110,(statement build),27784,CM-*-BALANCE-STMT,
BAL-07,Balances & statement,Prior month closing principal and interest,At cycle close the principal (balance plus instalment balance) and the accrued interest are snapshotted.,COMPUTE CM-PREV-MTH-CLOSE-PRIN = CM-CURR-BALANCE + CM-INSTL-BAL ; COMPUTE CM-PREV-MTH-CLOSE-INTR ROUNDED = ; CM-CASH-ACCRUED-INTR + CM-CASH2-ACCRUED-INTR (+ retail terms),CPD110,CARDHOLDER-PROCESSING,4793,CM-INSTL-BAL,
RWD-01,Rewards & rebate,Bonus points earned in the cycle,"Net qualifying retail spend — debits less miscellaneous charges, less the annual fee, less non-payment credits — multiplied by the bonus rate.",COMPUTE WS-BONUS-BUCKS-EARNED ROUNDED = ; ((CM-RTL-AMNT-DB - CM-RTL-MISC-CTD) - WS-TEMP-ANN-FEE ; - (CM-RTL-AMNT-CR - CM-RTL-PYMT-CTD)) * TCM-BONUS-PERCENT,CPD110,STATEMENT-PREPARATION,14809,TCM-BONUS-PERCENT,"Refunds reduce earned points; payments do not, which is why payments are added back."
RWD-02,Rewards & rebate,Bonus balance roll-forward,Opening bonus balance plus points earned less points redeemed in the cycle.,COMPUTE CM-BB-BEG-BALANCE = CM-BB-BEG-BALANCE ; + WS-BONUS-BUCKS-EARNED - CM-BB-USED-CTD,CPD110,STATEMENT-PREPARATION,15238,CM-BB-USED-CTD,
RWD-03,Rewards & rebate,Cashback amount from Visa clearing,Cashback arrives in minor units and is rescaled to the destination currency's decimal convention.,COMPUTE WS-AMT = ; (CXVSA-FIN-TCR1-CASHBACK / 100) * (10 ** WS-DST-CCY-EXP),CXCV010,CCCC0-FMT-PR-RE-CB-TCR1,6448,WS-DST-CCY-EXP,
RWD-04,Rewards & rebate,Merchant rebate in the daily settlement,Merchant rebate fees are added back when the merchant's carried-forward balance is struck.,COMPUTE WS-TOT-AMT-MER-RB-FEE = MAR-CAC-REBATE-FEE (WS-SUB),CQD720,A000-INITIAL-PROCESSING,6294,MAR-CAC-REBATE-FEE,
TAX-01,Tax (GST / SST),GST on merchant discount,"Tax is the discount amount multiplied by the GST rate held on the transaction, divided by 100.",COMPUTE WT-BDE-T-ENR-GST-AMT ROUNDED = ; CQBDTE-T-ENR-DIS-AMT * CQBDTE-T-GST-RTE / 100,CQD720,C770-PROCESS-BDTE-DETAIL,3617,CQBDTE-T-GST-RTE,"The rate travels on the transaction record, so a rate change applies from its effective date."
TAX-02,Tax (GST / SST),Daily discount GST net of enrolment GST,Total discount GST for the day less the GST already taken on enrolment fees.,COMPUTE WS-DLY-DISC-GST = WS-TOT-DISC-GST ; - WT-MCC-ENR-GST-AMT - WT-MCD-ENR-GST-AMT - WT-MPR-ENR-GST-AMT,CQD720,(daily totals),1975,WS-TOT-DISC-GST,
TAX-03,Tax (GST / SST),Net sales grossed up by enrolment GST,Enrolment GST is added back into net sales so the settlement figure reconciles.,COMPUTE WS-DLY-NET-SALES = WS-TOT-NET-SALES ; + WT-MCC-ENR-GST-AMT + WT-MCD-ENR-GST-AMT + WT-MPR-ENR-GST-AMT,CQD720,(daily totals),1980,WS-TOT-NET-SALES,
TAX-04,Tax (GST / SST),GST sign reversal on the statement detail,GST is flipped in sign when written to the merchant statement detail record.,COMPUTE MSTD1-GST-AMT = WT-BDE-T-DIS-GST-AMT * -1 ; COMPUTE MSAD1-GST-AMT = CQBDTE-T-FEE-GST-AMT * -1,CQD720,C770-PROCESS-BDTE-DETAIL,3716,WT-BDE-T-DIS-GST-AMT,"Fees are debits to the merchant, hence the sign flip for presentation."
TAX-05,Tax (GST / SST),Interest expense to the YTD tax buckets,Interest paid is accumulated into calendar and fiscal year-to-date buckets for tax reporting.,ADD CMT-AMNT TO CM-IE-YTD CM-IE-TAX-YTD ; OC-INTEREST-PAID-CALENDAR-YTD OC-INTEREST-PAID-FISCAL-YTD,CPD110,TRANSACTION-PROCESSING,11519,CM-IE-TAX-YTD,
MDR-01,Merchant discount (MDR),Average discount rate across cards,Total discount divided by the card count gives the average rate for the merchant.,COMPUTE WS-AVG-DISC-RATE = WS-TOT-DISC / WS-CARD-COUNT,CPM320,6005-COMPUTE-FEE-BASED-SALES,10152,"WS-TOT-DISC, WS-CARD-COUNT",Guard: only reached when WS-CARD-COUNT is non-zero.
MDR-02,Merchant discount (MDR),Effective rate after volume concession,"The average rate is reduced by a concession looked up on discount type, sales band and range.","COMPUTE WS-DISC-RATE = WS-AVG-DISC-RATE ; - OCMDM-PCT-UNDER-BASE-RATE (X-OCM-DISC, X-OCM-SALES, X-OCM-RANGE)",CPM320,6030-COMPUTE-RATE,10359,OCMDM-PCT-UNDER-BASE-RATE,Three-dimensional table: higher volume earns a bigger reduction.
MDR-03,Merchant discount (MDR),Discount amount charged to the merchant,Fee-based sales multiplied by the effective discount rate.,COMPUTE MMD-AMT-DISC (1) ROUNDED = ; WS-AMT-FEE-BASED-SALES * WS-DISC-RATE,CPM320,6030-COMPUTE-RATE,10375,"WS-AMT-FEE-BASED-SALES, WS-DISC-RATE",
MDR-04,Merchant discount (MDR),Discount accumulated across sales bands,Each sales band's amount is rated separately and added to the running discount.,COMPUTE MMD-AMT-DISC (1) ROUNDED = ; MMD-AMT-DISC (1) + (WS-FBS-AMNT * WS-DISC-RATE),CPM320,6045-CRBD-SALES-RANGES,10430,WS-FBS-AMNT,
MDR-05,Merchant discount (MDR),Back-solve the effective rate,"The blended rate actually charged, derived from the discount taken over the sales it was taken on.",COMPUTE WS-DISC-RATE = MMD-AMT-DISC (1) / WS-AMT-FEE-BASED-SALES,CPM320,6040-COMPUTE-RATE-BAND-DISC,10397,MMD-AMT-DISC,Used for the rate shown on the merchant statement.
MDR-06,Merchant discount (MDR),Merchant settlement (ACH) amount,Sales less returns across all card schemes gives the amount to pay the merchant.,COMPUTE WS-SALES = ; MMD-VI-AMT-TOTAL-SALES (1) - MMD-VI-AMT-TOTAL-RETURNS (1) ; + MMD-MC-... + MMD-JCB-... (per scheme) ; COMPUTE CPWMMR-MK4-ACH-AMOUNT = WS-SALES * -1,CPM320,5710-GEN-ACH-MERCH-DEPOSIT,10005,MMD-*-AMT-TOTAL-SALES/RETURNS,Sign is flipped for the outgoing payment instruction.
MDR-07,Merchant discount (MDR),Discount and fees withheld from settlement,Discount plus fees are settled as a separate ACH debit.,COMPUTE CPWMMR-MK4-ACH-AMOUNT = (MMD-AMT-DISC (2) + MMD-AMT-FEES (2)),CPM320,5730-GENERATE-ACH-DISCOUNT,10111,"MMD-AMT-DISC, MMD-AMT-FEES",
MDR-08,Merchant discount (MDR),Merchant balance carried forward,"Opening balance plus net sales and payment adjustments, less adjustments, fees and fee GST, plus rebates.",COMPUTE MAR-BALANCE-CF = MAR-BALANCE-BF + WS-TOT-NET-SALES ; + WS-TOT-PAYMENT-ADJ - WS-TOT-ADJUSTMENT - WS-TOT-FEES ; - WS-TOT-FEES-GST + WS-TOT-AMT-MER-RB-FEE + WS-AMT-REBATE,CQD720,A000-INITIAL-PROCESSING,2009,MAR-BALANCE-BF,The merchant accounting equivalent of a statement roll-forward.
ICG-01,Interchange,Net item interchange fee,"A per-item fee times the item count, plus an ad-valorem rate times the amount — both looked up by acquirer region, issuer region and programme.","COMPUTE WS-MC-NFI-FEE (lvl) = ; (WS-MC-NFI-NBR (lvl) * WS-ICG-RTL-PGM-ITEM (acq, iss, pgm)) ; + (WS-MC-NFI-AMT (lvl) * WS-ICG-RTL-PGM-RATE (acq, iss, pgm))",CPD030,CALC-MC-BATCH-NET-ITEM-FEE,5806,"WS-ICG-RTL-PGM-ITEM, WS-ICG-RTL-PGM-RATE",The standard scheme interchange shape: fixed per transaction plus a percentage.
ICG-02,Interchange,Interchange fee sign,The interchange figure is negated to express it as a cost.,COMPUTE WS-MC-BATCH-INTCHG-FEE ROUNDED = WS-MC-SI-AMT3 * -1.00,CPD030,CALC-MC-BATCH-NET-ITEM-FEE,5827,WS-MC-SI-AMT3,
ICG-03,Interchange,Batch net amount,Cash advance and ATM amounts are folded into the batch net.,COMPUTE WS-MC-BATCH-NET-AMT = WS-MC-BATCH-NET-AMT ; + WS-MC-BATCH-AMT-CASH-ADV + WS-MC-BATCH-AMT-ATM,CPD030,CALC-MC-BATCH-NET-ITEM-FEE,5831,WS-MC-BATCH-AMT-CASH-ADV,
ICG-04,Interchange,Batch gross including fees,"Net plus interchange, cash advance and ATM fees gives the settlement figure for the batch.",COMPUTE WS-MC-BATCH-AMT = WS-MC-BATCH-NET-AMT ; + WS-MC-BATCH-INTCHG-FEE + WS-MC-BATCH-FEE-CASH-ADV ; + WS-MC-BATCH-FEE-ATM,CPD030,CALC-MC-BATCH-NET-ITEM-FEE,5835,WS-MC-BATCH-INTCHG-FEE,
ICG-05,Interchange,Visa interchange rate maintenance,Scheme interchange rates are held on the organisation control record and maintained by percentage or absolute change.,COMPUTE FM1-NO-47-VISA-INTCHG-RATE (i) = ; OCM-VISA-INTCHG-RATE (j) * WS-PERCENT-HOLD ; (or + / - WSCPS-MAINT-FIELD-NUMERIC),CPU600,4450-FILL-FM-47,4695,OCM-VISA-INTCHG-RATE,CPU600 is the mass-maintenance program; it changes the rates the batch then applies.
FX-01,Currency conversion,Minor-unit rescaling on Visa clearing,Visa carries amounts in minor units with a currency exponent; the amount is divided by 100 and rescaled by 10 to the power of that exponent.,COMPUTE WS-AMT = ; (CXVSA-DSP-TCR1-DEST-AMT / 100) * (10 ** WS-DST-CCY-EXP),CXCV010,CCKC0-FMT-TC33-RE-CB-TCR1,10188,WS-DST-CCY-EXP,"Handles currencies with 0, 2 or 3 decimal places from one wire format."
FX-02,Currency conversion,"Visa conversion rate is read, not computed",The Visa rate is read once from the VISRATE file at the start of the run and held for the whole job. An empty file is fatal — the program abends rather than convert at a wrong rate.,OBTAIN-VISA-CURRENCY-RATE. ; OPEN INPUT VMC-CURRENCY-RATE-FILE ; READ VMC-CURRENCY-RATE-FILE ; AT END MOVE 88888 TO WS-ABEND-CODE ; MOVE 'VISRATE FILE IS EMPTY' TO WS-ABENDMSG ; PERFORM ZZZZ-ABEND ; MOVE VMC-VISA-RATE TO WS-VISA-RATE ; CLOSE VMC-CURRENCY-RATE-FILE,CSM08,OBTAIN-VISA-CURRENCY-RATE,2142,"VMC-VISA-RATE, VMC-SCALE-FACTOR","Rate maintenance is a data change, not a code change. NOTE: the older CPRTB currency-rate-table path (WS-IN-ORG-RATE = CPRTB-INCOM-RATE / 10**exponent, and cash fee rate = rate * 0.99) is commented out in CALC-CURR-CONV-RATE and in CPD030 - do not mistake it for live logic."
INS-01,Instalment / fixed-term loan,Months on which interest is payable,Repayment term less the interest-free period.,COMPUTE WS-FTL-MNTHS-INT-PAYABLE = ; (CMA-FTL-REPAYMENT-TERM - CMA-FTL-INT-FREE-PERIOD),CPD110,(fixed-term loan build),27507,"CMA-FTL-REPAYMENT-TERM, CMA-FTL-INT-FREE-PERIOD",
INS-02,Instalment / fixed-term loan,Insurance premium share of the instalment,"The premium's share of the instalment due, pro-rated by premium over premium plus principal.",COMPUTE WS-AMNT4 = ((WS-FTL-TOT-DUE-TD - WS-FTL-TOT-INT-TD) ; * (CMA-FTL-INS-PREMIUM ; / (CMA-FTL-INS-PREMIUM + WS-FTL-TOT-PRNCPL-AMNT))),CPD110,(fixed-term loan build),27936,CMA-FTL-INS-PREMIUM,
INS-03,Instalment / fixed-term loan,Total loan principal,The four principal tranches added together.,COMPUTE CRR-R45-PRINCIPAL-AMT = (CMA-FTL-LOAN-PRNCPL1 ; + CMA-FTL-LOAN-PRNCPL2 + CMA-FTL-LOAN-PRNCPL3 + CMA-FTL-LOAN-PRNCPL4),CPD110,REPORTS-AND-TRANSACTIONS,17059,CMA-FTL-LOAN-PRNCPL1..4,
INS-04,Instalment / fixed-term loan,Instalment exposure for authorisation,Instalment balance plus outstanding instalment authorisations.,COMPUTE ACR-INSTL-BAL = CM-INSTL-BAL + CM-AMNT-OUTST-INSTL,CPD110,9400-CUSTOMER-CALCULATE,29111,CM-INSTL-BAL,
INS-05,Instalment / fixed-term loan,Credit used including instalment share,Credit used is increased by the configured share of the instalment balance.,COMPUTE ACR-CREDIT-USED = ACR-CREDIT-USED ; + (TC-INSTL-EM-AVL-PER * CM-INSTL-BAL),CPD110,9400-CUSTOMER-CALCULATE,29114,TC-INSTL-EM-AVL-PER,
GL-01,Provision & charge-off,Provisional interest net,"Provisional interest less negative provisional interest, accumulated for the general ledger.",COMPUTE WST-PROVISIONAL ROUNDED = WST-PROVISIONAL ; + CM-RTL-PROVIS-INTR - CM-RTL-NEG-PROVIS-INTR,CPD110,CARDHOLDER-PROCESSING,7038,CM-RTL-PROVIS-INTR,CPD110B1 carries the same computation over the ABP (account balance process) record.
GL-02,Provision & charge-off,Interest on the provisional balance,Daily fraction times the provisional retail balance times the rate.,COMPUTE WSP-INT ROUNDED = ; WSI-DAY-FACTOR * WSP-RTL-PROVIS-BAL * WSI-RATE-1,CPD110,9500-SORT-SUSPENSE-SORT-FILE,29466,WSP-RTL-PROVIS-BAL,Suspended interest on delinquent accounts: accrued but not taken to income.
GL-03,Provision & charge-off,Gross charge-off,"Bad-debt, bankruptcy, fraud and counterfeit write-offs added into one gross charge-off figure.",COMPUTE WSS117-CQ-AX3F-GROSS-CHGOFF (n) = ; ...BDEBT-WTEOFF + ...BKRUPT-WTEOFF ; + ...FRAUD-LOSSES + ...CTFEIT-LOSSES + ...,CPU515,PRINT-SCHEDULE-TYPE,7035,WSS117-CQ-AX-* buckets,Feeds the quarterly affiliation / regulatory schedule.
GL-04,Provision & charge-off,Interest activity to the general ledger,Each accrual is mirrored to a GL amount and posted through the cardholder GL routine.,COMPUTE WS-AMOUNT-GL ROUNDED = WSI-ACCRUAL ; PERFORM GENERATE-INT-ACTIV-GL / GGTG-UPD-CARDH-GL,CPD110,INTEREST-PROCESSING,12502,WS-AMOUNT-GL,Keeps the subsidiary ledger and the GL in step day by day.
GL-05,Provision & charge-off,Rounding to the cent on GL transactions,"Half a cent is added before the amount is moved to the transaction field, giving round-half-up.",COMPUTE GT-AMNT = WSI-ACCRUAL + .005,CPD110,REPORTS-AND-TRANSACTIONS,17669,WSI-ACCRUAL,"The receiving field has two decimals, so the MOVE truncates the rest."
EPP-01,Instalment / fixed-term loan,Monthly instalment from item price,The financed item price divided by the number of payment terms gives the monthly instalment.,COMPUTE WS-MERCH-ADJ-AMT ROUNDED = EPT-ITEM-PRICE / EPT-PAY-TERM,EPD001,(merchant adjustment build),2212,"EPT-ITEM-PRICE, EPT-PAY-TERM",Easy Payment Plan. The merchant adjustment is the subsidy the merchant funds.
EPP-02,Instalment / fixed-term loan,Value of the waived months,"The monthly amount multiplied by the number of months in the waiver window, inclusive of both ends.",COMPUTE WS-MERCH-ADJ-AMT = ; WS-MERCH-ADJ-AMT * (EPT-WAIVE-TO-MOS - EPT-WAIVE-FR-MOS + 1),EPD001,(merchant adjustment build),2214,"EPT-WAIVE-FR-MOS, EPT-WAIVE-TO-MOS","The +1 makes the range inclusive — months 3 to 6 is four months, not three."
EPP-03,Instalment / fixed-term loan,Instalment billed during the interest-free window,"Inside the interest-free months the billed amount is the standard instalment less the interest element, so only principal is demanded.",IF EPT-INTR-FREE-MOS > 0 ; IF EPT-PAID-TERMS > EPT-INTR-FREE-MOS ; MOVE EPT-MON-INSTL-AMT TO EPGTF-TRANS-AMOUNT ; ELSE IF EPT-PAID-TERMS = 1 ; MOVE EPT-FIRST-PAY-AMT TO EPGTF-TRANS-AMOUNT ; ELSE ; COMPUTE EPGTF-TRANS-AMOUNT = EPT-MON-INSTL-AMT - WS-INTEREST-TEMP,EPD001,0231-CONTINUE,2352,"EPT-INTR-FREE-MOS, EPT-PAID-TERMS, EPT-MON-INSTL-AMT","The first instalment uses EPT-FIRST-PAY-AMT, which may differ from later ones."
EPP-04,Instalment / fixed-term loan,Principal portion of an instalment,The instalment less its interest element is the principal repaid this month.,COMPUTE EPGTF-PRIN-AMOUNT = EPGTF-TRANS-AMOUNT - WS-INTEREST,EPD001,0231-CONTINUE,2363,WS-INTEREST,"Standard amortisation split: interest first, the rest reduces principal."
EPP-05,Instalment / fixed-term loan,Amortise the outstanding balances,"Outstanding principal is reduced by the principal repaid, and outstanding interest by the interest taken.",COMPUTE EPT-OUTS-PRINCIPAL = EPT-OUTS-PRINCIPAL - EPGTF-PRIN-AMOUNT ; SUBTRACT WS-INTEREST FROM EPT-OUTS-INT,EPD001,0231-CONTINUE,2365,"EPT-OUTS-PRINCIPAL, EPT-OUTS-INT",Principal and interest are tracked as separate outstanding balances throughout the plan.
EPP-06,Instalment / fixed-term loan,Early settlement amount,Settling early demands the whole outstanding principal plus the outstanding interest.,COMPUTE EPGTF-TRANS-AMOUNT = EPT-OUTS-PRINCIPAL + EPT-OUTS-INT,EPD001,0231-CONTINUE,2306,"EPT-OUTS-PRINCIPAL, EPT-OUTS-INT","Whether unearned interest is rebated is a product decision, not visible in this statement alone."
PAY-01,Payment allocation,Retail share of a payment,"When a payment must be split across retail and cash, the retail share is retail's proportion of the two statement balances.",COMPUTE WS-TEMP-RATE ROUNDED = ; WS-RTL-STMT-BAL / (WS-CASH-STMT-BAL + WS-RTL-STMT-BAL),CPS515,PYMT-METHOD-03,203,"WS-RTL-STMT-BAL, WS-CASH-STMT-BAL",Only applied when both balances are above zero; otherwise the payment goes wholly to the non-zero side.
PAY-02,Payment allocation,Apply the retail share,The payment multiplied by the retail proportion is posted to retail.,MOVE WS-PYMT TO WS-SAVE-PYMT ; COMPUTE WS-PYMT ROUNDED = WS-SAVE-PYMT * WS-TEMP-RATE,CPS515,PYMT-METHOD-03,207,WS-TEMP-RATE,
PAY-03,Payment allocation,Remainder goes to cash,"Whatever is left after the retail share is posted to the cash balance, so nothing is lost to rounding.",COMPUTE WS-SAVE-PYMT = WS-SAVE-PYMT - WS-PYMT ; PERFORM PPT-RTL-STMT-BAL ; MOVE WS-SAVE-PYMT TO WS-PYMT ; PERFORM PPT-CASH-STMT-BAL,CPS515,PYMT-METHOD-03,209,WS-SAVE-PYMT,Taking the remainder rather than a second multiplication is what keeps the two halves summing to the payment.
PAY-04,Payment allocation,Split against current-month balances,"The same proportional split, applied to current-month balances when the payment exceeds the statement balances.",COMPUTE WS-TEMP-RATE ROUNDED = ; CM-RTL-CURR-MON-BAL / (CM-CASH-CURR-MON-BAL + CM-RTL-CURR-MON-BAL),CPS515,PYMT-METHOD-04,222,"CM-RTL-CURR-MON-BAL, CM-CASH-CURR-MON-BAL","Statement balances are cleared first, then current-month balances."
REC-01,Reconciliation & control,Accrued interest bucket roll-forward,"Opening balance plus transfers in and accruals and debit adjustments, less transfers out, credit adjustments and waivers, gives the closing bucket.",COMPUTE TCAI-ENDING-BALANCE (IAI) = ; TCAI-BEG-BALANCE (IAI) + TCAI-TRANSFER-IN (IAI) ; - TCAI-TRANSFER-OUT (IAI) + TCAI-ACCRUED (IAI) ; + TCAI-DEBIT-ADJUST (IAI) - TCAI-CREDIT-ADJUST (IAI) - ...,CPD810,KA040-ACCUM-ENDING-BALS,1816,TCAI-* buckets,CPD810 merges CPD110's updates into CPQAF. A parallel set of CO- fields tracks charged-off accounts.
REC-02,Reconciliation & control,Provisional interest bucket roll-forward,"The same roll-forward for suspended (provisional) interest, including movements to anticipated and waivers.",COMPUTE TCPI-ENDING-BALANCE = TCPI-BEG-BALANCE + TCPI-ACCRUED ; - TCPI-NEG-ACCRUED + TCPI-TRANSFER-IN - TCPI-TO-ANTICI ; - TCPI-WAIVED + TCPI-NEG-WAIVED - TCPI-TRANSFER-OUT,CPD810,KC010-ACCUM-END-PROV-BALS,2018,TCPI-* buckets,
REC-03,Reconciliation & control,Bucket variance check,The independently accumulated total is compared with the rolled-forward bucket; a non-zero difference is the control break.,COMPUTE WS-AMNT = ; WST-ENDING-ACCRUED (WS-TA-IDX) - TCAI-ENDING-BALANCE (IAI),CPD810,KA050-COMPARE-END-BALS,1907,WST-ENDING-ACCRUED,This is the out-of-balance detector for interest. A non-zero result is what an operator investigates.
REC-04,Reconciliation & control,Portfolio balance roll-forward,"Organisation-level closing balance: opening plus interest and transfers in and debits, less transfers out, charge-offs and credits.",COMPUTE WS-WORK-AMT = WS-ORG-BEG-BAL + WS-ORG-INTEREST ; + WS-ORG-TRNSF-IN - WS-ORG-TRNSF-OUT - WS-REG-CHGOFFS ; + WS-TOT-AMT-DB - WS-TOT-AMT-CR,CPU580,4499-OT-BAL-TOTALS,2774,WS-ORG-* accumulators,
REC-05,Reconciliation & control,Charged-off portfolio roll-forward,"The same roll-forward on the charged-off side, where charge-offs add to rather than reduce the balance.",COMPUTE WS-CO-WORK-AMT = WS-CO-ORG-BEG-BAL + WS-CO-ORG-INTEREST ; + WS-CO-CHGOFFS + WS-CO-TOT-AMT-DB + WS-CO-ORG-TRNSF-IN ; - WS-CO-ORG-TRNSF-OUT - WS-CO-TOT-AMT-CR,CPU580,4499-OT-BAL-TOTALS,2788,WS-CO-* accumulators,Note the sign on charge-offs is opposite to the regular portfolio — they move balance between the two.
GL-06,Provision & charge-off,Acquiring fee aggregation for GL,"Purchase, quasi-cash and chargeback fees are netted into one posting amount per GL category.",COMPUTE WS-TOT-AMT = WS-LOC-ACQ-PURC-FEE + WS-LOC-ACQ-QUASI-FEE ; + WS-LOC-ACQ-CB-FEE + WS-LOC-ACQ-QUASI-CB-FEE ; - WS-LOC-ACQ-CB-R-FEE - WS-LOC-ACQ-QUASI-CB-R-FEE,CP615100,(GL category build),2422,WS-LOC-ACQ-* fee buckets,"LOC = local, INT = international; ACQ = acquiring, ISS = issuing. CB-R is chargeback reversal."
GL-07,Provision & charge-off,Scale the GL amount to posting currency,The settlement amount is rescaled by ten to the power of the posting currency's exponent before it is written to the GL.,COMPUTE WS-TOT-AMT = (WS-TOT-AMT * (10 ** CSNGL-GL-POST-CURR-EXP)),CP615100,5100-WRITE-GL-ENTRY,2885,CSNGL-GL-POST-CURR-EXP,Same mechanism in CP615110. Lets one GL interface serve currencies with different decimal places.
GL-08,Provision & charge-off,Acquiring settlement total,"Purchases, quasi-cash, manual and reversal amounts netted against returns for the GL entry.",COMPUTE WS-TOT-AMT = WS-LOC-ACQ-PURC + WS-LOC-ACQ-QUASI ; + WS-LOC-ACQ-MANUAL + WS-LOC-ACQ-PURC-REV-RTN ; - WS-LOC-ACQ-PURC-RTN,CP615100,5000-GEN-GL-ENTRY,1599,WS-LOC-ACQ-* amount buckets,
FX-03,Currency conversion,Minor units to major units,Scheme files carry amounts in minor units (cents); multiplying by 0.01 converts them to the major unit before reporting.,COMPUTE MERCON-VI-AMT-NET-SALES (1) = ; MERCON-VI-AMT-NET-SALES (1) * 0.01,CP603160,4950-CONVERT-TO-DECIMAL,1875,(scheme amount fields),Applied field by field across every scheme and amount category — 120 such statements in this program alone.
FX-04,Currency conversion,Cashback scaled by transaction currency,"Cashback is divided by ten to the power of the transaction currency's exponent, or by 100 where no exponent applies.",COMPUTE CXSTX-D-CASHBACK-AMT = WS-ADD-AMT / (10 ** CXS120-TXN-CCY-EXP) ; (else) COMPUTE CXSTX-D-CASHBACK-AMT = WS-ADD-AMT / 100,CXPI040,(cashback build),4476,CXS120-TXN-CCY-EXP,
RWD-05,Rewards & rebate,Cash rebate at a flat rate,A flat one percent of the transaction amount is credited as cash rebate.,COMPUTE WS-CASH-REBATE ROUNDED = LF-OUTPUT-AMOUNT * 0.0100,CP621660,4000-FORMAT-PDB-REC,1837,LF-OUTPUT-AMOUNT,The 0.0100 rate is hard-coded in this program rather than table-driven — worth noting for any rate change.
RWD-06,Rewards & rebate,MDR rebate sign,"The merchant discount rebate is negated for the output record, expressing it as a credit.",COMPUTE LF-OUTPUT-MDR-REBATE = LF-OUTPUT-MDR-REBATE * -1,CP621660,4000-FORMAT-PDB-REC,1833,LF-OUTPUT-MDR-REBATE,
MNT-01,Mass maintenance,Percentage increase factor,"A percentage increase is turned into a multiplier by dividing by 100 and adding one, then applied to the current value.",COMPUTE WS-PERCENT-HOLD = (WSCPS-MAINT-FIELD-NUMERIC-R (WS-MAINT) / 100) + 1 ; COMPUTE FM1-NH-01-CREDIT-LIMIT = CUR-AMOUNT-OUT * WS-PERCENT-HOLD,CPU601,4200-FILL-FM-01,3379,WSCPS-MAINT-FIELD-NUMERIC-R,A 10% rise becomes a multiplier of 1.10. This is how bulk limit and rate changes are applied.
MNT-02,Mass maintenance,Percentage decrease factor,A percentage decrease becomes one minus the fraction.,COMPUTE WS-PERCENT-HOLD = 1 - (WSCPS-MAINT-FIELD-NUMERIC-R (WS-MAINT) / 100),CPU601,4200-FILL-FM-01,3388,WSCPS-MAINT-FIELD-NUMERIC-R,
MNT-03,Mass maintenance,Absolute increase or decrease,Where the change is an amount rather than a percentage it is simply added to or subtracted from the current value.,COMPUTE FM1-NH-01-CREDIT-LIMIT = ; CUR-AMOUNT-OUT + WSCPS-MAINT-FIELD-NUMERIC-R (WS-MAINT) ; (or - for a decrease),CPU601,4200-FILL-FM-01,3402,WSCPS-MAINT-FIELD-NUMERIC-R,
AUT-01,Credit limit & availability,Available credit at authorisation,During an authorisation enquiry the instalment share of the requested amount is deducted from available credit before the decision.,COMPUTE CM-AVAIL-CREDIT ROUNDED = CM-AVAIL-CREDIT ; - (AUIS-INQ-AMOUNT-SAVE-AREA * SEC-TC-INSTL-EM-AVL-PER),AUS301V,(authorisation enquiry),3910,"AUIS-INQ-AMOUNT-SAVE-AREA, TC-INSTL-EM-AVL-PER",Parallel forms exist for customer level (CR-AVAIL-CREDIT) and corporate level (CORP-CR-AVAIL-CREDIT).
AUT-02,Credit limit & availability,Release the reserve after the decision,The same instalment reserve is added back once the enquiry amount no longer applies.,COMPUTE CM-AVAIL-CREDIT ROUNDED = CM-AVAIL-CREDIT ; + (AUIS-INQ-AMOUNT-SAVE-AREA * TC-INSTL-EM-AVL-PER),AUS301V,(authorisation enquiry),8531,AUIS-INQ-AMOUNT-SAVE-AREA,
STA-01,Merchant volume & statistics,Average ticket size,"Sales amount divided by sales count gives the average ticket, computed separately for international, domestic and out-of-scheme.",COMPUTE QMMRSTA-SLE-ITL-TKT (1) = ; QMMRSTA-SLE-ITL-AMT (1) / QMMRSTA-SLE-ITL-NBR (1),QMD045,(merchant statistics),288,"QMMRSTA-SLE-*-AMT, -NBR",Each divide is guarded by a non-zero count test.
STA-02,Merchant volume & statistics,Total sales across channels,"Daily international, domestic and out-of-scheme amounts summed to the total.",COMPUTE QMMRSTA-SLE-TTL-AMT (1) = ; (QMMSTAT-DLY-ITL-AMT + QMMSTAT-DLY-DOM-AMT + QMMSTAT-DLY-OUS-AMT),QMD045,(merchant statistics),325,QMMSTAT-DLY-* amounts,
